Relative File path,File name,Season,Episode,Actors,Characters,Keywords,Title,Size,Dimensions,Credit,Device make,Device model,Color space,Color profile,Focal length,Description,Alpha channel,Red eye,Metering mode,F number,Exposure program,Exposure time,Instructions
visual-media-imagery/WW/GRADED_Witcher_101_Unit_02426.pkbyzqwd8f.jpg,GRADED_Witcher_101_Unit_02426.pkbyzqwd8f.jpg,1,1,Maciej Musiał,Sir Lazlo,,,"14,6 MB",6016 x 4016,Katalin Vermes,NIKON CORPORATION,NIKON D750,RGB,Adobe RGB (1998),48 mm,WW_101_12.11.2018_216.NEF,No,No,Spot,"f/3,5",Manual,1/400,
visual-media-imagery/WW/Witcher_101_Unit_02777_RT.fkxzywqd8f.jpg,Witcher_101_Unit_02777_RT.fkxzywqd8f.jpg,1,1,"Maciej Musiał, Freya Allan, Adam Levy","Sir Lazlo, Princess Cirilla 'Ciri' of Cintra, Mousesack",,,"18,5 MB",6016 x 4016,Katalin Vermes,NIKON CORPORATION,NIKON D750,RGB,Adobe RGB (1998),70 mm,WW_101_13.11.2018_127.NEF,No,No,Spot,"f/3,5",Manual,1/160,
visual-media-imagery/WW/Witcher_101_Unit_03168_RT.jpg,Witcher_101_Unit_03168_RT.jpg,1,1,Freya Allan,Princess Cirilla 'Ciri' of Cintra,,,"27,8 MB",6016 x 4016,Katalin Vermes,NIKON CORPORATION,NIKON D750,RGB,Adobe RGB (1998),116 mm,WW_101_15.11.2018_214.NEF,No,No,Spot,"f/2,8",Manual,1/160,
visual-media-imagery/WW/Witcher_101_Unit_03168_RT2.jpg,Witcher_101_Unit_03168_RT2.jpg,1,1,Freya Allan,Princess Cirilla 'Ciri' of Cintra,,,"25,4 MB",6016 x 4016,Katalin Vermes,NIKON CORPORATION,NIKON D750,RGB,Adobe RGB (1998),116 mm,WW_101_15.11.2018_214.NEF,No,No,Spot,"f/2,8",Manual,1/160,
visual-media-imagery/WW/WW_101_Unit_03753_RT.jpg,WW_101_Unit_03753_RT.jpg,1,1,Lars Mikkelsen,Stregobor,,,"15,7 MB",6016 x 4016,Katalin Vermes,NIKON CORPORATION,NIKON D750,RGB,Adobe RGB (1998),58 mm,WW_101_21.11.2018_538.NEF,No,No,Spot,"f/2,8",Manual,1/125,
visual-media-imagery/WW/GRADED_Witcher_101_Unit_03920.jpg,GRADED_Witcher_101_Unit_03920.jpg,1,1,"Freya Allan, Jodhi May, Björn Hlynur Haraldsson","Princess Cirilla 'Ciri' of Cintra, Queen Calanthe, Eist Tuirseach",,,"17,9 MB",6016 x 4016,Katalin Vermes,NIKON CORPORATION,NIKON D750,RGB,Adobe RGB (1998),40 mm,WW_101_29.11.2018_110.NEF,No,No,Spot,"f/3,2",Manual,1/125,(FSC:KV)
visual-media-imagery/WW/TheWitcher_101_Unit_03954_RT.jpg,TheWitcher_101_Unit_03954_RT.jpg,1,1,Freya Allan,Princess Cirilla 'Ciri' of Cintra,,,"15,9 MB",6016 x 4016,Katalin Vermes,NIKON CORPORATION,NIKON D750,RGB,Adobe RGB (1998),40 mm,WW_101_29.11.2018_144.NEF,No,No,Spot,"f/3,2",Manual,1/125,(FSC:KV)
visual-media-imagery/WW/GRADED_Witcher_101_Unit_04068_RT.p39zyqw88f.jpg,GRADED_Witcher_101_Unit_04068_RT.p39zyqw88f.jpg,1,1,Jodhi May,Queen Calanthe,,,"18,5 MB",6016 x 4016,Katalin Vermes,NIKON CORPORATION,NIKON D750,RGB,Adobe RGB (1998),42 mm,WW_101_29.11.2018_258.NEF,No,No,Spot,"f/3,2",Manual,1/200,(FSC:KV)
visual-media-imagery/WW/GRADED_Witcher_101_Unit_04438.jpg,GRADED_Witcher_101_Unit_04438.jpg,1,1,Björn Hlynur Haraldsson,Eist Tuirseach,,,"11,2 MB",6016 x 4016,Katalin Vermes,NIKON CORPORATION,NIKON D750,RGB,Adobe RGB (1998),78 mm,WW_101.30.11.2018_299.NEF,No,No,Spot,"f/4,0",Manual,1/1.000,(FSC:KV)
visual-media-imagery/WW/GRADED_Witcher_101_Unit_04997_RT.jpg,GRADED_Witcher_101_Unit_04997_RT.jpg,1,1,Henry Cavill,Geralt of Rivia,,,"16,5 MB",6016 x 4016,Katalin Vermes,NIKON CORPORATION,NIKON D750,RGB,Adobe RGB (1998),38 mm,WW_101.03.12.2018_181.NEF,No,No,Spot,"f/2,8",Manual,1/100,(FSC:KV)
visual-media-imagery/WW/Witcher_101_Unit_05251_RT.jpg,Witcher_101_Unit_05251_RT.jpg,1,1,"Jodhi May, Freya Allan, Björn Hlynur Haraldsson, Adam Levy","Queen Calanthe, Princess Cirilla 'Ciri' of Cintra, Eist Tuirseach, Mousesack",,,20 MB,6016 x 4016,Katalin Vermes,NIKON CORPORATION,NIKON D750,RGB,Adobe RGB (1998),185 mm,WW_101.05.12.2018_25.NEF,No,No,Spot,"f/3,2",Manual,1/160,(FSC:KV)
visual-media-imagery/WW/Witcher_101_Unit_05304_RT.p3tzyqq8dp.jpg,Witcher_101_Unit_05304_RT.p3tzyqq8dp.jpg,1,1,"Freya Allan, Jodhi May, Björn Hlynur Haraldsson, Adam Levy","Princess Cirilla 'Ciri' of Cintra, Queen Calanthe, Eist Tuirseach, Mousesack",,,19 MB,6016 x 4016,Katalin Vermes,NIKON CORPORATION,NIKON D750,RGB,Adobe RGB (1998),180 mm,WW_101.05.12.2018_78.NEF,No,No,Spot,"f/3,2",Manual,1/160,(FSC:KV)
visual-media-imagery/WW/GRADED_Witcher_101_Unit_06065_RT.jpg,GRADED_Witcher_101_Unit_06065_RT.jpg,1,1,Henry Cavill,Geralt of Rivia,,,"14,2 MB",6016 x 4016,Katalin Vermes,NIKON CORPORATION,NIKON D750,RGB,Adobe RGB (1998),70 mm,WW_101_09.03.2019_28.NEF,No,No,Spot,"f/3,2",Manual,1/125,
visual-media-imagery/WW/Witcher_101_Unit_06733_RT_V2.fkply7l8p.jpg,Witcher_101_Unit_06733_RT_V2.fkply7l8p.jpg,1,1,Henry Cavill,Geralt of Rivia,,,"19,5 MB",6000 x 4000,Katalin Vermes,SONY,ILCE-9,RGB,Adobe RGB (1998),134 mm,WW_101_22.05.2019_72.ARW,No,No,Other,"f/4,0",Manual,1/1.250,(FSC:AA)
visual-media-imagery/WW/Witcher_101_Unit_06823_RT.fkyyzwq8df.jpg,Witcher_101_Unit_06823_RT.fkyyzwq8df.jpg,1,1,Henry Cavill,Geralt of Rivia,,,"13,6 MB",6000 x 4000,Katalin Vermes,SONY,ILCE-9,RGB,sRGB IEC61966-2.1,35 mm,WW_101_22.05.2019_162.ARW,No,No,Other,"f/4,0",Manual,1/1.000,(FSC:AA)
visual-media-imagery/WW/TheWitcher_101_Unit_06900_RT.fk3ph4dhp-1.jpg,TheWitcher_101_Unit_06900_RT.fk3ph4dhp-1.jpg,1,1,Henry Cavill,Geralt of Rivia,,,"22,9 MB",6000 x 4000,Katalin Vermes,SONY,ILCE-9,RGB,Adobe RGB (1998),189 mm,WW_101_22.05.2019_239.ARW,No,No,Other,"f/4,0",Manual,1/1.250,(FSC:AA)
visual-media-imagery/WW/GRADED_Witcher_101_Unit_07296.f3hyyqw88f.jpg,GRADED_Witcher_101_Unit_07296.f3hyyqw88f.jpg,1,1,,,,,"16,3 MB",6000 x 4000,Katalin Vermes,SONY,ILCE-9,RGB,Adobe RGB (1998),131 mm,WW_101_22.05.2019_635.ARW,No,No,Other,"f/4,0",Manual,1/1.250,(FSC:AA)
visual-media-imagery/WW/TheWitcher_101_Unit_08529_RT.jpg,TheWitcher_101_Unit_08529_RT.jpg,1,1,"Emma Appleton, Henry Cavill","Renfri, Geralt of Rivia",,WitcherS1,"17,1 MB",6000 x 4000,Katalin Vermes,SONY,ILCE-9,RGB,Adobe RGB (1998),181 mm,WW_101_28.05.2019_149.ARW,No,No,Other,"f/5,0",Manual,1/800,(FSC: MK)
visual-media-imagery/WW/Witcher_101_Unit_08547_RT.jpg,Witcher_101_Unit_08547_RT.jpg,1,1,Emma Appleton,Renfri,,WitcherS1,"15,9 MB",6000 x 4000,Katalin Vermes,SONY,ILCE-9,RGB,Adobe RGB (1998),111 mm,WW_101_28.05.2019_167.ARW,No,No,Other,"f/5,0",Manual,1/1.600,(FSC: MK)
